Signal data for event #10827 with energy 999.1025453310803
<z>	<x>	<t>	<nph>
5	7	18	237.0
5	8	18	222.0
5	9	18	222.0
6	0	18	266.0
6	1	18	255.0
6	2	18	249.0
6	3	18	229.0
6	4	18	192.0
6	5	18	173.0
6	6	18	193.0
6	7	18	239.0
6	8	18	272.0
6	9	18	280.0
7	0	18	150.0
7	1	18	164.0
7	2	18	187.0
7	3	18	204.0
7	4	18	204.0
7	5	18	194.0
7	6	18	193.0
7	7	18	232.0
7	8	18	254.0
7	9	18	279.0
8	0	18	99.0
8	1	18	109.0
8	2	18	146.0
8	3	18	189.0
8	4	18	211.0
8	5	18	202.0
8	6	18	213.0
8	7	18	217.0
8	8	18	211.0
8	9	18	258.0
9	0	18	84.0
9	1	18	94.0
9	2	18	127.0
9	3	18	177.0
9	4	18	202.0
9	5	18	197.0
9	6	18	207.0
9	7	18	204.0
9	8	18	188.0
9	9	18	239.0
0	0	19	484.0
0	1	19	482.0
0	2	19	475.0
0	3	19	469.0
0	4	19	486.0
0	5	19	482.0
0	6	19	471.0
0	7	19	460.0
0	8	19	482.0
0	9	19	489.0
1	0	19	328.0
1	1	19	307.0
1	2	19	300.0
1	3	19	322.0
1	4	19	325.0
1	5	19	338.0
1	6	19	353.0
1	7	19	347.0
1	8	19	347.0
1	9	19	329.0
2	0	19	206.0
2	1	19	204.0
2	2	19	204.0
2	3	19	227.0
2	4	19	216.0
2	5	19	201.0
2	6	19	197.0
2	7	19	190.0
2	8	19	173.0
2	9	19	161.0
3	0	19	218.0
3	1	19	202.0
3	2	19	187.0
3	3	19	176.0
3	4	19	157.0
3	5	19	123.0
3	6	19	135.0
3	7	19	132.0
3	8	19	133.0
3	9	19	134.0
4	0	19	147.0
4	1	19	138.0
4	2	19	141.0
4	3	19	144.0
4	4	19	127.0
4	5	19	110.0
4	6	19	122.0
4	7	19	130.0
4	8	19	136.0
4	9	19	152.0
5	0	19	69.0
5	1	19	64.0
5	2	19	77.0
5	3	19	95.0
5	4	19	121.0
5	5	19	133.0
5	6	19	135.0
5	7	19	126.0
5	8	19	120.0
5	9	19	114.0
6	0	19	45.0
6	1	19	45.0
6	2	19	58.0
6	3	19	84.0
6	4	19	113.0
6	5	19	127.0
6	6	19	143.0
6	7	19	123.0
6	8	19	102.0
6	9	19	91.0
7	0	19	43.0
7	1	19	52.0
7	2	19	64.0
7	3	19	76.0
7	4	19	87.0
7	5	19	108.0
7	6	19	122.0
7	7	19	110.0
7	8	19	110.0
7	9	19	89.0
8	0	19	36.0
8	1	19	49.0
8	2	19	63.0
8	3	19	74.0
8	4	19	72.0
8	5	19	93.0
8	6	19	96.0
8	7	19	110.0
8	8	19	111.0
8	9	19	96.0
9	0	19	42.0
9	1	19	54.0
9	2	19	70.0
9	3	19	66.0
9	4	19	66.0
9	5	19	84.0
9	6	19	91.0
9	7	19	109.0
9	8	19	113.0
9	9	19	92.0
0	0	20	265.0
0	1	20	284.0
0	2	20	290.0
0	3	20	272.0
0	4	20	273.0
0	5	20	274.0
0	6	20	284.0
0	7	20	277.0
0	8	20	258.0
0	9	20	251.0
1	0	20	199.0
1	1	20	223.0
1	2	20	220.0
1	3	20	203.0
1	4	20	222.0
1	5	20	218.0
1	6	20	216.0
1	7	20	187.0
1	8	20	177.0
1	9	20	182.0
2	0	20	111.0
2	1	20	115.0
2	2	20	113.0
2	3	20	102.0
2	4	20	102.0
2	5	20	105.0
2	6	20	111.0
2	7	20	111.0
2	8	20	111.0
2	9	20	120.0
3	0	20	37.0
3	1	20	37.0
3	2	20	47.0
3	3	20	63.0
3	4	20	69.0
3	5	20	80.0
3	6	20	77.0
3	7	20	75.0
3	8	20	59.0
3	9	20	58.0
4	0	20	35.0
4	1	20	40.0
4	2	20	43.0
4	3	20	45.0
4	4	20	48.0
4	5	20	57.0
4	6	20	55.0
4	7	20	55.0
4	8	20	56.0
4	9	20	48.0
5	0	20	41.0
5	1	20	44.0
5	2	20	44.0
5	3	20	48.0
5	4	20	36.0
5	5	20	29.0
5	6	20	27.0
5	7	20	40.0
